,Image,Category,sub-category,Tittle,Details
1,,Dining,Dining Table,Rupestre,"This is a six-seater wooden dining table set, crafted from solid wood with a polished finish that highlights the natural grain patterns of the wood. The set includes a rectangular table and six matching chairs, each featuring a sturdy backrest with a rectangular cutout for added design and support. The style is modern yet classic, making it ideal for dining rooms with contemporary or traditional decor."
2,,Dining,Dining Table,Anemone,"This is a four-seater wooden dining table set, designed with a minimalist and modern aesthetic. The table has a square shape with clean, sturdy legs, while the chairs feature comfortable armrests and a slatted back design, complemented by cushioned seats for added comfort. The natural wood finish enhances its timeless appeal, making it ideal for compact dining spaces or outdoor settings."
3,,Dining,Dining Table,Primula ,"Bennova is a modern 6-seater dining set featuring a rectangular table, four cushioned chairs, and a matching bench. Crafted from premium wood with a rich natural finish, it combines comfort and style, making it ideal for both family meals and gatherings."
4,,Dining,Dining Table,Helodes,"A sleek and durable wooden dining set featuring a rectangular table and four matching chairs with slatted backrests. Designed with a rich brown finish, this set is perfect for modern and traditional dining spaces."
5,,Dining,Dining Table,Snowbell,"A stylish six-seater dining set featuring a smooth wooden table with rounded edges and six cushioned chairs with fabric upholstery. The light wood finish and minimalist design make it a perfect choice for contemporary dining spaces."
6,,Dining,Dining Table,Cowslip,"A sleek and modern four-seater dining set featuring a smooth wooden table with a stylish geometric base and ergonomically designed chairs with cushioned seats and wooden armrests. Perfect for contemporary dining spaces."
7,,Dining,Dining Table,Sunflower,"A stylish square dining set with a smooth tabletop and four cushioned chairs that tuck in neatly. The grey upholstered chairs provide comfort and elegance, complementing modern interiors. Ideal for compact spaces, offering both functionality and aesthetic appeal."
8,,Dining,Dining Table,"
Millennial","A sophisticated rectangular dining table with a sleek dark surface, complemented by four stylish grey upholstered chairs. The chairs feature a contemporary wooden frame design, blending comfort and aesthetics. Perfect for upscale dining spaces with a modern touch."
9,,Dining,Dining Table,Florulenta,"A stunning rectangular dining table with a marble-finish top and elegant gold accents. Paired with six quilted two-tone chairs in rich brown and cream, offering both style and comfort. Perfect for adding a touch of sophistication to any dining space."
10,,Dining,Dining Table,Peony Italian,"A timeless rectangular dining table with a clear glass top over a beautifully carved wooden frame. Paired with six elegantly upholstered chairs featuring intricate wood detailing and soft grey cushions. Perfect for adding a touch of vintage charm to any dining space."
11,,Dining,Dining Table,Arum Lilies,"A luxurious round dining table with a marble top and a rotating centerpiece for convenience. Paired with four high-back tufted chairs upholstered in rich beige fabric with wooden accents. Perfect for adding sophistication and functionality to any dining area."
12,,Study,Study Table,"Plumeria
","This is a Lockies Sheesham wood study table featuring a natural wood finish, a spacious rectangular top, and a two-drawer storage unit with intricate Jali work detailing. It offers a blend of functionality and traditional aesthetics for a study or home office space."
13,,BedRoom,Bed Cots,Elisabethae,"This is a wooden platform bed with a minimalist design, featuring a low-profile rectangular headboard and a matching side table. The bed is dark-finished and includes a light-colored mattress with a striped blanket, complemented by a neutral-toned rug."
14,,BedRoom,Bed Cots,Florescence,"This is a dark wood panel bed featuring an oversized, multi-tiered headboard with open shelving on the sides and a two-tone design. The accompanying bedroom furniture includes a matching wardrobe and a small side table, enhancing the room's storage and functionality."
15,,BedRoom,Bed Cots,Jonopsidium savianum,"This is a dark wood storage bed with a panel headboard featuring built-in shelving units on each side, offering convenient bedside storage. The room also includes a matching tall bookshelf with open shelving, enhancing the functionality and storage capacity of the space."
16,,BedRoom,Bed Cots,Petals,"This is a dark wood panel bed with a beige cushioned headboard featuring tufting details and built-in shelving on the sides. The room also showcases a matching wardrobe with sliding doors in a combination of dark wood and beige panels, creating a cohesive look."
17,,BedRoom,Bed Cots,Stigma,"This is a dark wood, low-profile platform bed with a paneled headboard featuring metallic horizontal stripes, creating a modern, minimalist design. The room also includes a matching two-tone wardrobe with contrasting white doors, enhancing storage and style."
18,,BedRoom,Bed Cots,Orchid,"This is a modern platform bed with a two-tone, white and wood headboard featuring built-in side tables and a low-profile, dark wood frame. The room also includes a matching wardrobe with contrasting white doors, complementing the bed's aesthetic."
19,,BedRoom,Bed Cots,Rose,"This is a dark wood platform bed with a white, cushioned headboard featuring patterned, wood-trimmed side panels. The room includes matching bedside tables and is decorated with two framed abstract art pieces, enhancing the modern design."
20,,BedRoom,Bed Cots,Violet,"This is a dark wood, single-sized bed featuring a panel headboard with built-in shelving, ideal for storage and display. The room is decorated with a round jute rug, a small side table with a vase, and a framed abstract art piece, creating a cozy and organized space."
21,,BedRoom,Bed Room Tables,Gilly,"This is a modern bedside table with a two-tone design, featuring a dark wood frame and a contrasting white drawer with a silver knob. It offers both closed storage in the drawer and open storage below, and is topped with a neutral-toned lamp."
22,,BedRoom,Bed Room Tables,Daisy,"This is a modern bedside table with a two-tone design, featuring a dark wood frame and a contrasting white drawer with a silver knob. It offers both closed storage in the drawer and open storage below, and is topped with a neutral-toned lamp."
23,,BedRoom,Bed Room Tables,Cyclamen,"This is a modern bedside table with a two-tone design, featuring a dark wood frame and a contrasting white drawer with a silver knob. It offers both closed storage in the drawer and open storage below, and is topped with a neutral-toned lamp."
24,,Storage,Wardrobes,Hortensia,"This is a dark wood wardrobe with sliding doors, featuring a combination of open shelving and closed compartments for organized storage. The wardrobe includes hanging rods, stacked shelves with colorful piles of clothing, and a small lockable drawer."
25,,Storage,Wardrobes,Heather,"This is a modern, dark wood wardrobe with three doors, featuring a contrasting white center panel and sleek silver handles. It offers ample storage and includes a small framed picture, a potted plant, and a woven basket nearby, suggesting a well-organized space."
26,,Storage,Wardrobes,Lavender,"This is a tall, narrow, two-door wardrobe with a dark wood finish and simple silver handles, offering a classic design for bedroom storage. It's positioned next to a smaller shelving unit and a framed picture, suggesting a coordinated and functional bedroom setup."
27,,Storage,Wardrobes,Edelweiss,"This is a traditional, dark wood, three-door wardrobe with simple silver handles, offering ample storage for a bedroom. The wardrobe features a classic design with a top panel and is positioned in a room with a light-colored wall and a hanging plant, suggesting a neat and organized space."
28,,Storage,Wardrobes,Wisteria,"This is a modern two-door wardrobe featuring a dark wood frame contrasting with white panels, providing a clean, contemporary look. It offers closed storage and is complemented by framed artwork, a potted plant, and hanging clothes nearby, suggesting a well-organized and stylish space."
29,,Storage,Wardrobes,Cornflower,"This is a two-tone wardrobe with a dark wood frame and contrasting white doors, featuring a large circular knob on one door and a smaller knob on the other. It offers a blend of modern design and functionality, suitable for a contemporary bedroom."
30,,living,Coffee Tables,Poppy,"This is a modern, two-tiered coffee table with a unique asymmetrical design, featuring a dark wood finish and contrasting white surfaces. It offers both open display space and storage, with a lower shelf for books or decor, ideal for a contemporary living room."
31,,living,Coffee Tables,Marigold,"This is a rectangular coffee table with a dark wood finish and a contrasting white, recessed tabletop surface, offering a modern and functional design. It features an open shelf below for storage or display, complemented by a patterned rug and a grey sofa in the background."
32,,living,Coffee Tables,Hyacinth,"This is a dark wood, rectangular coffee table with a classic design, featuring a slightly raised top and multiple tiers of shelving below. The open shelves offer ample space for storage or display, making it a functional centerpiece for a living room."
33,,living,Coffee Tables,Hibiscus,"This is a modern, two-tiered coffee table featuring a dark wood finish and a contrasting white surface on the lower level, offering a contemporary look and practical storage solutions with its open shelf design. It is styled with decorative items such as magazines, a small plant, and remote controls, suggesting a functional and organized living space."
34,,Storage,Book Shelves,Rhododendron,"This is a tall, five-tiered corner bookshelf with a dark wood finish, designed to fit snugly into a room's corner, maximizing space utilization. The shelves are progressively smaller from bottom to top, offering a visually appealing display for books, decorative items, and plants."
35,,Storage,Book Shelves,Geranium,"This is a tall, rotating bookshelf with a dark wood finish, featuring multiple narrow shelves ideal for storing and displaying books or other items in a compact space. Its rotating design allows easy access to all sides and maximizes storage in a minimal footprint."
36,,BedRoom,Head Boards,Hawthorn,"This is a contemporary bed with a low-profile, dark-finished frame and a tufted, light gray headboard. The clean lines and neutral tones offer a modern aesthetic suitable for various bedroom styles."
37,,BedRoom,Head Boards,Carnation,"This is a modern platform bed featuring a dark-brown, paneled headboard with built-in shelving on the sides. The warm color and functional design offer a blend of style and practicality, perfect for a contemporary bedroom."
38,,BedRoom,Head Boards,Crocus,"This is a modern platform bed with a low-profile, dark-finished frame and a rectangular, gray fabric headboard featuring panel stitching. The clean lines and neutral tones offer a contemporary style suitable for a variety of bedroom decors."
